k,i,j,jw,cpau,jwau,dfpy,dfpy2,jwso,dfv,mfv,dfp,mfp,dfch,dft,pyxvxp,prob,miss,batch,str,train,match,ix,test
109692,1,2,0.027953668,0,0.044444444,0,0,0,,,,,,,0,1,1,A,"RETZIUS A, 1864, ETHNOLOGISCHE SCHRIF
RETZIUS, 1864, ETHNOLOGISCHE SCHRIF",TRUE,TRUE,112338,FALSE
109956,1,2,0.095665114,0,0.025,16,256,0.079545455,,,,,,,16,0.166666667,1,A,"RICCI U, 1908, GIORN EC
RICCIS U, 1924, GIORNALE EC, P43",TRUE,,112575,FALSE
110133,1,2,0.094213094,0,0.07,0,0,0.04,,,,,,,0,1,1,A,"RICHARDSON III J. B., 1973, VARIATIONS ANTHR, P199
RICHARDSON JB, 1973, VARIATIONS ANTHR ESS",TRUE,TRUE,112741,FALSE
110158,1,2,0.051227106,0,0,0,0,0.105438596,,,,,,,0,1,1,A,"RICHARDSON M, 1992, 9201 GEORG U DEP EC
RICHARDSON M, 1992, 9201 GEORG U WORK PA",TRUE,TRUE,112782,FALSE
110190,1,2,0.054845089,0,0.082051282,0,0,0,,,,,,,0,1,1,A,"RICHIE MA, 1996, SPIRIT RAINFOREST YA
RITCHIE M. A., 1996, SPIRIT RAINFOREST YA",TRUE,TRUE,112795,FALSE
110221,1,2,0.023529412,0,0,0,0,0,,,,,,,0,1,1,A,"RICHTER DANIEL K., 2001, FACING E INDIAN COUN
RICHTER DANIEL K., 2001, FACING E INDIAN COUN, P189",TRUE,TRUE,112817,FALSE
110248,1,2,0.071258503,0,0.082554945,1,1,0,,,,,,,1,1,1,A,"RICKFORD J. R., 2002, STYLE SOCIOLINGUISTI
RICKFORD JOHN R., 2001, STYLE SOCIOLINGUISTI, P21",TRUE,TRUE,112847,FALSE
110297,1,3,0.07888478,0,0.066666667,0,0,0.063285024,,,,,,,0,0.333333333,1,A,"RIDDER G, 2007, HDB ECONOMETRICS A, V6
RIDDER GEERT, 2007, HDB ECONOMETRICS B, V6B, P5469",TRUE,TRUE,112887,FALSE
110313,1,2,0.017647059,0,0,0,0,0.031578947,,,,,,,0,1,1,A,"RIDGE M, 1981, NEW BILINGUALISM
RIDGE M, 1981, NEW BILINGUALISM AM",TRUE,TRUE,112910,FALSE
110317,1,2,0.025,0,0,0,0,0,,,,,,,0,1,1,A,"RIDGEWAY C. L., 1992, GENDER INTERACTION I
RIDGEWAY C. L., 1992, GENDER INTERACTION I, P157",TRUE,TRUE,112914,FALSE
110477,1,2,0.058371736,0,0.041666667,0,0,0.05,,,,,,,0,1,1,A,"RIGHT I, 1922, BANK CREDIT AGR NATL
WRIGHT I, 1922, BANK CREDIT AGR",TRUE,TRUE,113055,FALSE
110760,1,2,0.022222222,0,0.025,0,0,0.03,,,,,,,0,1,1,A,"RIVAL L, 1998, SOCIAL LIFE TREES
RIVAL L., 1998, SOCIAL LIFE TREES AN",TRUE,TRUE,113300,FALSE
110767,1,2,0.022222222,0,0.05,3,9,0,,,,,,,3,1,1,A,"RIVERA G, 1971, SW SOCIOLOGICAL ASSO
RIVERA J, 1974, SW SOCIOLOGICAL ASSO",TRUE,,113302,FALSE
110820,1,3,0.051787271,0,0,0,0,0.102857143,,,,,,,0,0.333333333,1,A,"ROBACK AA, 1944, DICTIONARY INT SLURS
ROBACK AA, 1944, DICT INT SLURS",TRUE,TRUE,113343,FALSE
110880,1,2,0.037268848,0,0,0,0,0.071578947,,,,,,,0,1,1,A,"ROBBINS P., 2007, LAWN PEOPLE GRASSES
ROBBINS P., 2007, LAWN PEOPLE HOW GRAS",TRUE,TRUE,113414,FALSE
111142,2,3,0.044444444,0,0,2,4,0.09,,,,,,,2,0.333333333,1,A,"ROBINS P, 1987, 84287 U WISC MAD I R
ROBINS P, 1989, 88589 U WISC MAD I R",TRUE,,113660,FALSE
111195,1,2,0.026666667,0,0,0,0,0,,,,,,,0,1,1,A,"ROBINSON HB, 1965, MENTALLY RETARDED CH, P210
ROBINSON HB, 1965, MENTALLY RETARDED CH, PCH6",TRUE,TRUE,113702,FALSE
111342,1,2,0.029573935,0,0.042857143,0,0,0.01,,,,,,,0,1,1,A,"ROCHESTER A, 1940, WHY FARMER ARE POOR
ROCHESTER ANNA, 1940, WHY FARMERS ARE POOR",TRUE,TRUE,113863,FALSE
112467,1,2,0.023076923,0,0,0,0,0,,,,,,,0,1,1,A,"ROSENSTEINRODAN PN, 1964, PRICING FISCAL POLIC
ROSENSTEINRODAN PN, 1964, PRICING FISCAL POLIC, P165",TRUE,TRUE,115267,FALSE
112511,1,2,0.01,0,0,0,0,0.02,,,,,,,0,1,1,A,"ROSENTHAL R., 1985, CONTRAST ANAL FOCUSE
ROSENTHAL R., 1985, CONTRAST ANAL FOCUSS",TRUE,TRUE,115311,FALSE
112701,1,2,0.011764706,0,0,1,1,0,,,,,,,1,1,1,A,"ROSSI A, 1972, ACADEMIC WOMEN MOVE
ROSSI A, 1973, ACADEMIC WOMEN MOVE",TRUE,TRUE,115502,FALSE
112733,2,3,0.042105263,0,0,0,0,0.08,,,,,,,0,0.333333333,1,A,"ROSSIDES D, 1978, HIST NATURE SOC THEO
ROSSIDES D, 1978, HIST NATURE SOCIOLOG",TRUE,TRUE,115541,FALSE
112893,1,2,0.036829837,0,0,0,0,0.02967033,,,,,,,0,1,1,A,"ROTHSCHILD M, 1987, INSECT PLANTS
ROTHSCHILD M, 1987, INSECTS PLANTS, P97",TRUE,TRUE,115691,FALSE
112945,1,2,0.018181818,0,0,1,1,0,,,,,,,1,1,1,A,"ROUCH J, 1953, SONGHAY
ROUCH J, 1954, SONGHAY",TRUE,TRUE,115731,FALSE
112969,1,2,0.062127264,0,0.05,0,0,0.04,,,,,,,0,1,1,A,"ROUND J., 1913, ROTULI DOMINABUS PUE, V35
ROUND JH, 1913, ROTULI DOMINABUS, P20",TRUE,TRUE,115746,FALSE
113249,1,2,0.071578947,0,0.015384615,3,9,0.08,,,,,,,3,0.333333333,1,A,"RUBENSTEIN RL, 1978, CUNNING HIST, P91
RUBENSTEIN R, 1975, CUNNING HIST MASS DE",TRUE,TRUE,116005,FALSE
113499,1,2,0.071746032,0,0.104061625,0,0,0,,,,,,,0,1,1,A,"RUGGIERO G. D., 1927, HIST EUROPEAN LIBERA
RUGGIERO GUIDO DE, 1927, HIST EUROPEAN LIBERA",TRUE,TRUE,116294,FALSE
113965,1,2,0.089264706,0,0.028571429,0,0,0.084444444,,,,,,,0,1,1,A,"RYFF C, 1986, LATER LIFE PSYCHOL A
RYFF CD, 1986, LATER LIFE SOCIAL PS, P33",TRUE,TRUE,116719,FALSE
114045,1,2,0.053439803,0,0.0625,0,0,0.02,,,,,,,0,0.333333333,1,A,"SABLINSKY WALTER, 1976, ROAD BLOODY SUNDAY F
SABLINSKY W, 1976, ROAD BLOODY SUNDAY",TRUE,TRUE,116762,FALSE
114522,1,3,0.021052632,0,0,7,49,0,,,,,,,7,0.333333333,1,A,"SALMOND A., 1983, HUI STUDY MAORI CERE
SALMOND A., 1976, HUI STUDY MAORI CERE",TRUE,TRUE,117195,FALSE
114837,1,2,0.086025641,0,0,0,0,0.11,,,,,,,0,1,1,A,"SANDERSON GB, 1941, ECONOMICA        MAY
SANDERSON GB, 1941, ECONOMICA, V8, P178",TRUE,TRUE,117513,FALSE
114860,1,2,0.107058824,0,0.117460317,18,324,0,,,,,,,18,1,1,A,"SANDERS J, 1985, THESIS COLUMBIA U
SANDIS EE, 1967, THESIS COLUMBIA U",TRUE,,117558,FALSE
115059,1,2,0.01,0,0,1,1,0,,,,,,,1,1,1,A,"SAPPINGTON D, 1985, UNPUB REGULATORY INC
SAPPINGTON D, 1986, UNPUB REGULATORY INC",TRUE,TRUE,117738,FALSE
115160,1,2,0.099145299,0,0,82,6724,0.126315789,,,,,,,82,1,1,A,"SARMIENTO DF, 1921, FACUNDO CIVILZACION
SARMIENTO DF, 2003, FACUNDO",TRUE,TRUE,117831,FALSE
115389,1,2,0.03255814,0,0,0,0,0,,,,,,,0,0.333333333,1,A,"SAVAS ES, 1974, IMPROVING QUALITY UR, PCH15
SAVAS ES, 1974, IMPROVING QUALITY UR",TRUE,TRUE,118068,FALSE
115610,1,3,0.046428571,0,0,15,225,0.05,,,,,,,15,0.166666667,1,A,"SCARPITTI FR, 1995, SOCIAL PROBLEMS SEAR
SCARPITTI FR, 1980, SOCIAL PROBLEMS",TRUE,TRUE,118296,FALSE
115974,1,2,0.056698565,0,0,5,25,0.04,,,,,,,5,0.333333333,1,A,"SCHERER FM, 1979, IND CONCENTRATION MA, P128
SCHERER FM, 1974, IND CONCENTRATION NE",TRUE,,118655,FALSE
116027,1,2,0.02664944,0,0.02745098,0,0,0,,,,,,,0,1,1,A,"SCHICHTING C.D., 1998, PHENOTYPIC EVOLUTION
SCHLICHTING C. D., 1998, PHENOTYPIC EVOLUTION",TRUE,TRUE,118707,FALSE
116309,1,2,0.047368421,0,0.02,0,0,0.08,,,,,,,0,0.1,1,A,"SCHMIDT CT, 1938, PLOUGH SWORD LABOR L
SCHMIDT C, 1938, PLOUGH SWORD",TRUE,TRUE,119031,FALSE
116621,1,2,0.073059867,0,0.182051282,0,0,0,,,,,,,0,1,1,A,"SCHOEPFLIN G., 2000, NATIONS IDENTITY POW
SCHOPFLIN GEORGE, 2000, NATIONS IDENTITY POW",TRUE,TRUE,119282,FALSE
117301,1,3,0.031111111,0,0.018181818,0,0,0,,,,,,,0,0.333333333,1,A,"SCHWARTZ T., 1978, MAKING PSYCHOL ANTHR, P419
SCHWARTZ T, 1978, MAKING PSYCHOL ANTHR",TRUE,TRUE,119839,FALSE
117562,1,2,0.028571429,0,0,0,0,0,,,,,,,0,1,1,A,"SCOTT RE, 1973, LATIN AM MODERNIZATI
SCOTT RE, 1973, LATIN AM MODERNIZATI, P285",TRUE,TRUE,120071,FALSE
117677,2,3,0.05,0,0,0,0,0.05,,,,,,,0,0.333333333,1,A,"SEABROOK J, 1978, WHAT WENT WRONG
SEABROOK J, 1978, WHAT WENT WRONG WORK, P244",TRUE,TRUE,120211,FALSE
118005,1,2,0.08228164,0,0.271851852,10,100,0.011764706,,,,,,,10,1,1,A,"SEIDER S, 1999, THESIS STANFROD U
SELESKI P, 1989, THESIS STANFORD U",TRUE,,120525,FALSE
119114,1,3,0.092167832,0,0,10,100,0.327777778,,,,,,,10,0.333333333,1,A,"SHELDON WH, 1954, GOD POLARITY
SHELDON WH, 1944, PROCESS REALITY",TRUE,,121610,FALSE
119139,1,2,0.04,0,0.033333333,0,0,0.06,,,,,,,0,1,1,A,"SHELTON B.A., 1992, WOMEN MEN TIME GENDE
SHELTON BA, 1992, WOMEN MEN TIME",TRUE,TRUE,121628,FALSE
119326,1,2,0.037289973,0,0.047058824,0,0,0,,,,,,,0,1,1,A,"SHERRINGTON C, 1906, INTEGRATIVE ACTION N
SHERRINGTON C. S., 1906, INTEGRATIVE ACTION N",TRUE,TRUE,121819,FALSE
119446,1,2,0.033976834,0,0,3,9,0,,,,,,,3,1,1,A,"SHIMADA H, 1985, MANAGEMENT CHALLENGE, P42
SHIMADA H, 1988, MANAGEMENT CHALLENGE",TRUE,TRUE,121975,FALSE
119603,1,2,0.071621622,0,0.02,0,0,0.08,,,,,,,0,1,1,A,"SHOCKEY J, 1988, COMMON PROBLEMS QUAN
SHOCKEY JW, 1988, COMMON PROBLEMS PROP, P288",TRUE,TRUE,122132,FALSE
120227,1,3,0.028571429,0,0,0,0,0.06,,,,,,,0,0.333333333,1,A,"SILVERMAN KAJA, 1996, THRESHOLD VISUAL WOR
SILVERMAN KAJA, 1996, THRESHOLD VISIBLE WO",TRUE,TRUE,122672,FALSE
120347,1,2,0.033087633,0,0,2,4,0.04,,,,,,,2,1,1,A,"SIMMONS J, 1983, WORKING TOGETHER
SIMMONS J, 1985, WORKING TOGETHER EMP",TRUE,TRUE,122814,FALSE
120663,1,2,0.03902439,0,0.022222222,0,0,0.03,,,,,,,0,1,1,A,"SINGER P, 1993, GREAT APE PROJECT
SINGER P., 1993, GREAT APE PROJECT EQ, P4",TRUE,TRUE,123129,FALSE
121441,1,2,0.051139806,0,0.05,0,0,0.02,,,,,,,0,1,1,A,"SMITH B., 1998, GENDER HIST MEN WOME
SMITH BG, 1998, GENDER HIST MED WOME, P14",TRUE,TRUE,123992,FALSE
121526,1,2,0.09031746,0,0.085714286,1,1,0,,,,,,,1,1,1,A,"SMITH DAVID J., 1991, INEQUALITY NO IRELAN
SMITH DJ, 1992, INEQUALITY NO IRELAN",TRUE,TRUE,124061,FALSE
121566,1,2,0.053061224,0,0,0,0,0,,,,,,,0,1,1,A,"SMITH EA, 2007, MODEL BASED ARCHAEOL
SMITH EA, 2007, MODEL BASED ARCHAEOL, P[105, 241]",TRUE,TRUE,124103,FALSE
121592,1,3,0.069848485,0,0.083333333,1,1,0.03,,,,,,,1,0.333333333,1,A,"SMITH GRAHAM, 1988, J CROW MET J BULL BL
SMITH G, 1987, J CROW MET J BULL, P8",TRUE,TRUE,124121,FALSE
121704,1,2,0.095563298,0,0.025,2,4,0.148571429,,,,,,,2,1,1,A,"SMITH M, 1986, CULTURE CHANGE POSTC
SMITH MF, 1988, CULTURE CHRISTIANITY, P33",TRUE,TRUE,124242,FALSE
121777,1,2,0.039223509,0,0.054545455,0,0,0.02,,,,,,,0,1,1,A,"SMITH R. M., 2003, STORIES PEOPLEHOOD
SMITH R., 2003, STORIES PEOPLEHOOD P",TRUE,TRUE,124358,FALSE
121836,1,2,0.022857143,0,0,6,36,0,,,,,,,6,1,1,A,"SMITH STEVEN S., 1984, COMMITTEES C
SMITH STEVEN S., 1990, COMMITTEES C",TRUE,TRUE,124404,FALSE
121932,1,2,0.020512821,0,0,21,441,0,,,,,,,21,1,1,A,"SMITINAND T, 1970, FLORA THAILAND BANGK
SMITINAND T, 1991, FLORA THAILAND BANGK",TRUE,TRUE,124534,FALSE
123019,1,3,0.043092105,0,0.02,1,1,0.05,,,,,,,1,0.333333333,1,A,"SPENCER R, 1998, SPURIOUS ISSUES
SPENCER R., 1999, SPURIOUS ISSUES RACE",TRUE,TRUE,125636,FALSE
124491,1,2,0.145864662,0,0.036363636,5,25,0,,,,,,,5,1,1,A,"STETTLER HF, 1982, AUDITING PRINCIPLES
STETTLER HP, 1977, AUDITING PRINCIPLES",TRUE,TRUE,127366,FALSE
125124,1,2,0.086448111,0,0.02,12,144,0.204807692,,,,,,,12,1,1,A,"STOLPER W, 1994, JA SCHUMPETER PUBLIC
STOLPER WF, 1982, SCHUMPETERIAN EC",TRUE,TRUE,127999,FALSE
125622,2,3,0.010810811,0,0,1,1,0,,,,,,,1,0.333333333,1,A,"STRINGER P, 1992, SOCIAL ATTITUDES NO
STRINGER P, 1993, SOCIAL ATTITUDES NO",TRUE,TRUE,128548,FALSE
125996,1,2,0.03,0,0,0,0,0,,,,,,,0,1,1,A,"SUH GM, 1987, THESIS SEOUL NATIONA
SUH GM, 1987, THESIS SEOUL NATIONA, P146",TRUE,TRUE,128950,FALSE
126082,1,2,0.019047619,0,0,0,0,0,,,,,,,0,1,1,A,"SULZBACH W, 1911, ANFANGE MAT GESCHICH
SULZBACH W, 1911, ANFANGE MAT GESCHICH, P3",TRUE,TRUE,129028,FALSE
126231,3,6,0.041111111,0,0.025,3,9,0,,,,,,,3,0.047619048,1,A,"SUPPE F, 1977, STRUCTURE SCI THEORI, P16
SUPPE F., 1974, STRUCTURE SCI THEORI",TRUE,TRUE,129184,FALSE
126661,1,2,0.027906977,0,0,0,0,0,,,,,,,0,1,1,A,"SWENSON C, 1979, SOCIAL WORK PRACTICE
SWENSON C, 1979, SOCIAL WORK PRACTICE, P213",TRUE,TRUE,129558,FALSE
127043,1,4,0.057138782,0,0.046153846,2,4,0,,,,,,,2,0.166666667,1,A,"TAINTER JA, 1988, COLLAPSE COMPLEX SOC
TAINTER J. A., 1990, COLLAPSE COMPLEX SOC",TRUE,TRUE,129930,FALSE
127781,1,2,0.099426451,0,0.09,0,0,0.03,,,,,,,0,1,1,A,"TCHERNEVA P, 2005, 48 U MISS CTR FULL E
TCHERNEVA PAVLINA R., 2005, 41 U MISS CTR FULL E",TRUE,TRUE,130753,FALSE
128065,1,2,0.027906977,0,0,0,0,0,,,,,,,0,1,1,A,"TEPLIN LA, 1984, MENTAL HLTH CRIMINAL
TEPLIN LA, 1984, MENTAL HLTH CRIMINAL, P157",TRUE,TRUE,130997,FALSE
128213,1,3,0.032786885,0,0,0,0,0.04,,,,,,,0,0.333333333,1,A,"TEZOZOMOC HERNANDO ALVARADO, 1975, CRONICA MEXICANA COD, P223
TEZOZOMOC HERNANDO ALVARADO, 1975, CRONICA MEXICANA",TRUE,TRUE,131184,FALSE
128523,1,2,0.03491656,0,0.036363636,0,0,0,,,,,,,0,1,1,A,"THOMAS H.E., 1951, CONSERVATION GROUND
THOMAS HE, 1951, CONSERVATION GROUND, P37",TRUE,TRUE,131538,FALSE
129284,1,2,0.018604651,0,0,0,0,0,,,,,,,0,1,1,A,"TINBERGEN J, 1954, CENTRALIZATION DECEN
TINBERGEN J, 1954, CENTRALIZATION DECEN, P4",TRUE,TRUE,132299,FALSE
129298,1,2,0.021621622,0,0,3,9,0,,,,,,,3,1,1,A,"TINBERGEN, 1927, VJH KONJUNKTURFORSCH
TINBERGEN, 1930, VJH KONJUNKTURFORSCH",TRUE,TRUE,132329,FALSE
129317,2,3,0.005555556,0,0,0,0,0.010526316,,,,,,,0,0.333333333,1,A,"TINLEY JM, 1935, 41 CAL AGR EXP STA
TINLEY JM, 1935, 41 CAL AGR EXP STAT",TRUE,TRUE,132384,FALSE
129414,1,2,0.058986928,0,0.022222222,0,0,0.101764706,,,,,,,0,1,1,A,"TIZARD B, 1977, ADOPTION SECOND CHAN
TIZARD B., 1977, ADOPTION 2 CHANCE",TRUE,TRUE,132525,FALSE
129548,1,2,0.010810811,0,0,0,0,0.02,,,,,,,0,1,1,A,"TOIKKA RS, 1975, 35074 URB I WORK PAP
TOIKKA RS, 1975, 35078 URB I WORK PAP",TRUE,TRUE,132668,FALSE
129593,1,2,0.057022158,0,0,1,1,0.033986928,,,,,,,1,1,1,A,"TOLLIDAY S, 1979, THESIS U CAMBRIDGE, P65
TOLLIDAY S, 1980, THESIS CAMBRIDGE U",TRUE,TRUE,132700,FALSE
129754,1,3,0.059459459,0,0.022222222,0,0,0.13,,,,,,,0,0.333333333,1,A,"TOOLEY J, 1998, ED RES REV
TOOLEY J., 1998, ED RES CRITIQUE SURV",TRUE,TRUE,132843,FALSE
129996,1,2,0.008695652,0,0,1,1,0,,,,,,,1,1,1,A,"TOWNSEND ROBERT M., 2010, FINANCIAL SYSTEMS DE
TOWNSEND ROBERT M., 2011, FINANCIAL SYSTEMS DE",TRUE,TRUE,133042,FALSE
130040,1,2,0.094116844,0,0.351851852,0,0,0,,,,,,,0,1,1,A,"TRAIL PW, 1984, THESIS CORNELL U ITH
WETZEL PJ, 1984, THESIS CORNELL U ITH",TRUE,,133091,FALSE
130458,2,3,0.04199445,0,0.037799043,3,9,0,,,,,,,3,0.166666667,1,A,"TROTTER JOE WILLIAM, 1988, BLACK MILWAUKEE MAKI
TROTTER JR JOE WILLIAM, 1985, BLACK MILWAUKEE MAKI",TRUE,TRUE,133504,FALSE
130489,2,4,0.025,0,0,0,0,0,,,,,,,0,0.166666667,1,A,"TROXEL E, 1947, EC PUBLIC UTILITIES
TROXEL E, 1947, EC PUBLIC UTILITIES, P53",TRUE,TRUE,133527,FALSE
130556,4,6,0.03,0,0,0,0,0,,,,,,,0,0.047619048,1,A,"TRUXAL AG, 1947, FAMILY AM CULTURE
TRUXAL AG, 1947, FAMILY AM CULTURE, P701",TRUE,TRUE,133576,FALSE
130769,1,2,0.052213916,0,0.02,0,0,0.01,,,,,,,0,1,1,A,"TULLOCK G, 1969, READINGS WELFARE ECO, V6, P169
TULLOCK G., 1969, READINGS WELFARE EC",TRUE,TRUE,133759,FALSE
130771,1,2,0.069109563,0,0.071428571,1,1,0,,,,,,,1,1,1,A,"TULLOCK G, 1973, EXPLORATIONS THEORY
TULLOCK GORDON, 1972, EXPLORATIONS THEORY",TRUE,TRUE,133760,FALSE
130963,1,2,0.038709677,0,0,0,0,0,,,,,,,0,1,1,A,"TURNER JR, 1919, INTRO EC
TURNER JR, 1919, INTRO EC, PR16",TRUE,TRUE,133969,FALSE
131169,1,2,0.029268293,0,0,0,0,0,,,,,,,0,1,1,A,"TYERS R, 1988, ELASTICITIES INT AGR
TYERS R, 1988, ELASTICITIES INT AGR, P225",TRUE,TRUE,134183,FALSE
131537,1,2,0.045424837,0,0,0,0,0.083333333,,,,,,,0,1,1,A,"UPDIKE J, 1989, SELF CONSCIOUS MEMOI
UPDIKE J, 1989, SELF CONSCIOUSNESS",TRUE,TRUE,134648,FALSE
131758,1,2,0.022222222,0,0,0,0,0.04,,,,,,,0,1,1,A,"VAKIL CN, 1934, IND POLICY INDIA
VAKIL CN, 1934, IND POLICY INDIA SPE",TRUE,TRUE,134878,FALSE
132106,1,2,0.099817916,0,0.206944444,4,16,0,,,,,,,4,1,1,A,"VANBAALEN AC, 1994, THESIS U AMSTERDAM
VANDERKAARS WA, 1990, THESIS U AMSTERDAM",TRUE,,135166,FALSE
132255,1,2,0.075454545,0,0,0,0,0.12,,,,,,,0,1,1,A,"VANDERPOEL J, 1967, NEDERLANDSE BOERDERI
VANDERPOEL J, 1967, NEDERLANDSE OPENLUCH, V5",TRUE,TRUE,135298,FALSE
132356,1,2,0.057164404,0,0,2,4,0.07,,,,,,,2,1,1,A,"VANGENNEP A, 1920, TRAITE COMP NATL, V1
VANGENNEP A, 1922, TRIATE COMP NATIONAL",TRUE,TRUE,135439,FALSE
132554,1,2,0.079217794,0,0.061538462,1,1,0.06717033,,,,,,,1,1,1,A,"VARENNE H, 1987, SYMBOLIZATION AM
VARENNE HERVE, 1986, SYMBOLIZING AM",TRUE,TRUE,135567,FALSE
132616,1,3,0.077906166,0,0.030769231,12,144,0.083529412,,,,,,,12,0.333333333,1,A,"VASILIEV A.A., 1952, HIST BYZANTINE EMPIR
VASILIEV AA, 1964, HISTORY BYZANTINE EM, V1",TRUE,TRUE,135614,FALSE
132655,1,2,0.055555556,0,0,0,0,0.105263158,,,,,,,0,1,1,A,"VAUGHAN E, 2001, SOCIOLOGY
VAUGHAN E, 2001, SOCIOLOGY STUDY SOC",TRUE,TRUE,135654,FALSE
132861,1,2,0.091450216,0,0.133333333,1,1,0.093333333,,,,,,,1,1,1,A,"VENTURA GUSTAVO, 2007, 13224 NBER
VENTURA J., 2006, 12482 NBER",TRUE,,135871,FALSE
132890,2,5,0.043092105,0,0.02,4,16,0.05,,,,,,,4,0.1,1,A,"VERBEEK M., 2000, GUIDE MODERN ECONOME
VERBEEK M, 2004, GUIDE MODERN EC",TRUE,TRUE,135927,FALSE
133008,1,2,0.043012243,0,0.076767677,0,0,0,,,,,,,0,1,1,A,"VERNON IM, 1972, MARKET STRUCTURE IND
VERNON J. M, 1972, MARKET STRUCTURE IND",TRUE,TRUE,136056,FALSE
133303,1,2,0.098245614,0,0,6,36,0.08,,,,,,,6,1,1,A,"VINGILIS E, 1985, ALCOHOL DRUGS TRAFFI
VINGILIS E, 1991, ALCOHOL DRUGS DRIVIN, V7, P197",TRUE,,136336,FALSE
133401,1,2,0.08036068,0,0.081018519,0,0,0,,,,,,,0,1,1,A,"VITALES H, 1968, HIST COOPERATIVE MOV
VITELES H, 1968, HIST COOPERATIVE MOV, V4, P247",TRUE,TRUE,136424,FALSE
133713,1,2,0.098956916,0,0,1,1,0.166666667,,,,,,,1,1,1,A,"VONFURERHAIMEND.C, 1982, TRIBES INDIA STRUGGL
VONFURERHAIMEND.C, 1983, TRIBE CASTE RELIG IN, P1",TRUE,TRUE,136679,FALSE
134243,1,2,0.052884615,0,0.04,0,0,0,,,,,,,0,1,1,A,"WAKEFIELD J. C., 1989, PERSONALITY PSYCHOL, P333
WAKEFIELD JC, 1989, PERSONALITY PSYCHOL",TRUE,TRUE,137135,FALSE
134689,1,2,0.010526316,0,0,0,0,0.02,,,,,,,0,1,1,A,"WALLSTEN S, 2000, TELECOMMUNICATION PR
WALLSTEN S, 2000, TELECOMMUNICATIONS P",TRUE,TRUE,137712,FALSE
134761,1,2,0.133333333,0,0,11,121,0.366666667,,,,,,,11,1,1,A,"WALTER H, 1964, KLIMADIAGRAMM WELTAT
WALTER H, 1975, CLIMATE DIAGRAM MAPS",TRUE,,137763,FALSE
135026,1,2,0.07210084,0,0,1,1,0.160964912,,,,,,,1,1,1,A,"WARD RW, 1974, ERD741 U FLOR FLOR D
WARD RW, 1975, 751 U FLOR FLOR DEP",TRUE,TRUE,137946,FALSE
135118,1,2,0.07365048,0,0.110185185,0,0,0,,,,,,,0,0.333333333,1,A,"WARREN ME, 1933, JUVENILE DETENTION U, P3
WARNER FM, 1933, JUVENILE DETENTION U",TRUE,TRUE,138032,FALSE
135158,1,2,0.073684211,0,0.02,23,529,0.04,,,,,,,23,1,1,A,"WARNOCK M, 1982, SPECIAL ED NEEDS, P47
WARNOCK M., 2005, SPECIAL ED NEEDS NEW",TRUE,,138112,FALSE
135469,4,5,0.021621622,0,0,9,81,0,,,,,,,9,0.1,1,A,"WATSON DS, 1963, PRICE THEORY ITS USE
WATSON DS, 1972, PRICE THEORY ITS USE",TRUE,TRUE,138327,FALSE
135485,1,2,0.070096525,0,0.05,0,0,0.076666667,,,,,,,0,1,1,A,"WATSON I. B., 1980, FDN EMPIRE ENGLISH P
WATSON IB, 1980, F EMPIRE ENGLISH PRI",TRUE,TRUE,138338,FALSE
135549,1,2,0.021428571,0,0,0,0,0.046153846,,,,,,,0,1,1,A,"WATT WM, 1968, WHAT IS ISLAM
WATT WM, 1968, WHAT ISLAM",TRUE,TRUE,138377,FALSE
135810,1,2,0.090783091,0,0,0,0,0.098518519,,,,,,,0,1,1,A,"WEBER E. H., 1834, PULEN RESORPTIONE AU
WEBER E. H., 1834, PULSU RESORPTIONE AU",TRUE,TRUE,138645,FALSE
135879,1,2,0.053146853,0,0,178,31684,0,,,,,,,178,1,1,A,"WEBSTER P, 1791, POLITICAL ESSAYS, P267
WEBSTER P, 1969, POLITICAL ESSAYS",TRUE,TRUE,138699,FALSE
135892,1,2,0.062962963,0,0.05,0,0,0.09,,,,,,,0,1,1,A,"WECTER D, 1937, SAGA AM SOC
WECTOR D, 1937, SAGA AM SOC RECORD S",TRUE,TRUE,138712,FALSE
136175,1,3,0.042074592,0,0,0,0,0.04,,,,,,,0,0.333333333,1,A,"WEINSTEIN F, 1973, PSYCHOANALYTICAL SOC, P66
WEINSTEIN F, 1973, PSYCHOANALYTIC SOCIO",TRUE,TRUE,139018,FALSE
136532,1,2,0.031818182,0,0.02,0,0,0,,,,,,,0,1,1,A,"WELLMAN B, 1999, COMMUNITIES CYBERSPA
WELLMAN B., 1999, COMMUNITIES CYBERSPA, P167",TRUE,TRUE,139367,FALSE
136559,1,2,0.088113695,0,0.118333333,0,0,0,,,,,,,0,1,1,A,"WELLS C. GORDON, 1981, LEARNING INTERACTION
WELLS G., 1981, LEARNING INTERACTION",TRUE,TRUE,139397,FALSE
136662,1,2,0.026315789,0,0,0,0,0,,,,,,,0,1,1,A,"WEMBRIDGE ER, 1931, LIFE LOWBROWS
WEMBRIDGE ER, 1931, LIFE LOWBROWS, P64",TRUE,TRUE,139471,FALSE
136858,1,2,0.03,0,0,0,0,0,,,,,,,0,1,1,A,"WEST C, 1993, CULTURAL STUDIES REA
WEST C, 1993, CULTURAL STUDIES REA, P203",TRUE,TRUE,139612,FALSE
