k,i,j,jw,cpau,jwau,dfpy,jwso,dfv,dfp,dfch,dft,pyxvxp,prob,miss,batch,str,train,match,ix
130556,4,6,0.03,0,0,0,0,,,,,0,0.047619048,1,A,"TRUXAL AG, 1947, FAMILY AM CULTURE
TRUXAL AG, 1947, FAMILY AM CULTURE, P701",TRUE,1,133576
130769,1,2,0.052213916,0,0.02,0,0.01,,,,,0,1,1,A,"TULLOCK G, 1969, READINGS WELFARE ECO, V6, P169
TULLOCK G., 1969, READINGS WELFARE EC",TRUE,1,133759
130771,1,2,0.069109563,0,0.071428571,1,0,,,,,1,1,1,A,"TULLOCK G, 1973, EXPLORATIONS THEORY
TULLOCK GORDON, 1972, EXPLORATIONS THEORY",TRUE,1,133760
130963,1,2,0.038709677,0,0,0,0,,,,,0,1,1,A,"TURNER JR, 1919, INTRO EC
TURNER JR, 1919, INTRO EC, PR16",TRUE,1,133969
131169,1,2,0.029268293,0,0,0,0,,,,,0,1,1,A,"TYERS R, 1988, ELASTICITIES INT AGR
TYERS R, 1988, ELASTICITIES INT AGR, P225",TRUE,1,134183
131537,1,2,0.045424837,0,0,0,0.083333333,,,,,0,1,1,A,"UPDIKE J, 1989, SELF CONSCIOUS MEMOI
UPDIKE J, 1989, SELF CONSCIOUSNESS",TRUE,1,134648
131758,1,2,0.022222222,0,0,0,0.04,,,,,0,1,1,A,"VAKIL CN, 1934, IND POLICY INDIA
VAKIL CN, 1934, IND POLICY INDIA SPE",TRUE,1,134878
132106,1,2,0.099817916,0,0.206944444,4,0,,,,,4,1,1,A,"VANBAALEN AC, 1994, THESIS U AMSTERDAM
VANDERKAARS WA, 1990, THESIS U AMSTERDAM",TRUE,,135166
132255,1,2,0.075454545,0,0,0,0.12,,,,,0,1,1,A,"VANDERPOEL J, 1967, NEDERLANDSE BOERDERI
VANDERPOEL J, 1967, NEDERLANDSE OPENLUCH, V5",TRUE,1,135298
132356,1,2,0.057164404,0,0,2,0.07,,,,,2,1,1,A,"VANGENNEP A, 1920, TRAITE COMP NATL, V1
VANGENNEP A, 1922, TRIATE COMP NATIONAL",TRUE,1,135439
132554,1,2,0.079217794,0,0.061538462,1,0.06717033,,,,,1,1,1,A,"VARENNE H, 1987, SYMBOLIZATION AM
VARENNE HERVE, 1986, SYMBOLIZING AM",TRUE,1,135567
132616,1,3,0.077906166,0,0.030769231,12,0.083529412,,,,,12,0.333333333,1,A,"VASILIEV A.A., 1952, HIST BYZANTINE EMPIR
VASILIEV AA, 1964, HISTORY BYZANTINE EM, V1",TRUE,1,135614
132655,1,2,0.055555556,0,0,0,0.105263158,,,,,0,1,1,A,"VAUGHAN E, 2001, SOCIOLOGY
VAUGHAN E, 2001, SOCIOLOGY STUDY SOC",TRUE,1,135654
132861,1,2,0.091450216,0,0.133333333,1,0.093333333,,,,,1,1,1,A,"VENTURA GUSTAVO, 2007, 13224 NBER
VENTURA J., 2006, 12482 NBER",TRUE,,135871
132890,2,5,0.043092105,0,0.02,4,0.05,,,,,4,0.1,1,A,"VERBEEK M., 2000, GUIDE MODERN ECONOME
VERBEEK M, 2004, GUIDE MODERN EC",TRUE,1,135927
133008,1,2,0.043012243,0,0.076767677,0,0,,,,,0,1,1,A,"VERNON IM, 1972, MARKET STRUCTURE IND
VERNON J. M, 1972, MARKET STRUCTURE IND",TRUE,1,136056
133303,1,2,0.098245614,0,0,6,0.08,,,,,6,1,1,A,"VINGILIS E, 1985, ALCOHOL DRUGS TRAFFI
VINGILIS E, 1991, ALCOHOL DRUGS DRIVIN, V7, P197",TRUE,,136336
133401,1,2,0.08036068,0,0.081018519,0,0,,,,,0,1,1,A,"VITALES H, 1968, HIST COOPERATIVE MOV
VITELES H, 1968, HIST COOPERATIVE MOV, V4, P247",TRUE,1,136424
133713,1,2,0.098956916,0,0,1,0.166666667,,,,,1,1,1,A,"VONFURERHAIMEND.C, 1982, TRIBES INDIA STRUGGL
VONFURERHAIMEND.C, 1983, TRIBE CASTE RELIG IN, P1",TRUE,1,136679
134243,1,2,0.052884615,0,0.04,0,0,,,,,0,1,1,A,"WAKEFIELD J. C., 1989, PERSONALITY PSYCHOL, P333
WAKEFIELD JC, 1989, PERSONALITY PSYCHOL",TRUE,1,137135
134689,1,2,0.010526316,0,0,0,0.02,,,,,0,1,1,A,"WALLSTEN S, 2000, TELECOMMUNICATION PR
WALLSTEN S, 2000, TELECOMMUNICATIONS P",TRUE,1,137712
134761,1,2,0.133333333,0,0,11,0.366666667,,,,,11,1,1,A,"WALTER H, 1964, KLIMADIAGRAMM WELTAT
WALTER H, 1975, CLIMATE DIAGRAM MAPS",TRUE,,137763
135026,1,2,0.07210084,0,0,1,0.160964912,,,,,1,1,1,A,"WARD RW, 1974, ERD741 U FLOR FLOR D
WARD RW, 1975, 751 U FLOR FLOR DEP",TRUE,1,137946
135118,1,2,0.07365048,0,0.110185185,0,0,,,,,0,0.333333333,1,A,"WARREN ME, 1933, JUVENILE DETENTION U, P3
WARNER FM, 1933, JUVENILE DETENTION U",TRUE,1,138032
135158,1,2,0.073684211,0,0.02,23,0.04,,,,,23,1,1,A,"WARNOCK M, 1982, SPECIAL ED NEEDS, P47
WARNOCK M., 2005, SPECIAL ED NEEDS NEW",TRUE,,138112
135469,4,5,0.021621622,0,0,9,0,,,,,9,0.1,1,A,"WATSON DS, 1963, PRICE THEORY ITS USE
WATSON DS, 1972, PRICE THEORY ITS USE",TRUE,1,138327
135485,1,2,0.070096525,0,0.05,0,0.076666667,,,,,0,1,1,A,"WATSON I. B., 1980, FDN EMPIRE ENGLISH P
WATSON IB, 1980, F EMPIRE ENGLISH PRI",TRUE,1,138338
135549,1,2,0.021428571,0,0,0,0.046153846,,,,,0,1,1,A,"WATT WM, 1968, WHAT IS ISLAM
WATT WM, 1968, WHAT ISLAM",TRUE,1,138377
135810,1,2,0.090783091,0,0,0,0.098518519,,,,,0,1,1,A,"WEBER E. H., 1834, PULEN RESORPTIONE AU
WEBER E. H., 1834, PULSU RESORPTIONE AU",TRUE,1,138645
135879,1,2,0.053146853,0,0,178,0,,,,,178,1,1,A,"WEBSTER P, 1791, POLITICAL ESSAYS, P267
WEBSTER P, 1969, POLITICAL ESSAYS",TRUE,1,138699
135892,1,2,0.062962963,0,0.05,0,0.09,,,,,0,1,1,A,"WECTER D, 1937, SAGA AM SOC
WECTOR D, 1937, SAGA AM SOC RECORD S",TRUE,1,138712
136175,1,3,0.042074592,0,0,0,0.04,,,,,0,0.333333333,1,A,"WEINSTEIN F, 1973, PSYCHOANALYTICAL SOC, P66
WEINSTEIN F, 1973, PSYCHOANALYTIC SOCIO",TRUE,1,139018
136532,1,2,0.031818182,0,0.02,0,0,,,,,0,1,1,A,"WELLMAN B, 1999, COMMUNITIES CYBERSPA
WELLMAN B., 1999, COMMUNITIES CYBERSPA, P167",TRUE,1,139367
136559,1,2,0.088113695,0,0.118333333,0,0,,,,,0,1,1,A,"WELLS C. GORDON, 1981, LEARNING INTERACTION
WELLS G., 1981, LEARNING INTERACTION",TRUE,1,139397
136662,1,2,0.026315789,0,0,0,0,,,,,0,1,1,A,"WEMBRIDGE ER, 1931, LIFE LOWBROWS
WEMBRIDGE ER, 1931, LIFE LOWBROWS, P64",TRUE,1,139471
136858,1,2,0.03,0,0,0,0,,,,,0,1,1,A,"WEST C, 1993, CULTURAL STUDIES REA
WEST C, 1993, CULTURAL STUDIES REA, P203",TRUE,1,139612
137233,1,2,0.031073969,0,0.033333333,1,0,,,,,1,1,1,A,"WHIMSTER S, 2004, ESSENTIAL WEBER READ
WHIMSTER SAM, 2003, ESSENTIAL WEBER READ",TRUE,1,140010
137311,1,2,0.072598584,0,0,0,0.177647059,,,,,0,0.1,1,A,"WHITE DEBORAH GRAY, 1985, ARNT WOMAN FEMALE SL
WHITE DEBORAH GRAY, 1985, ARNT I A WOMAN FEMAL",TRUE,1,140070
137343,1,2,0.039047619,0,0.025,0,0,,,,,0,1,1,A,"WHITE H, 1981, SOC METHODOLOGY 1981
WHITE HC, 1981, SOC METHODOLOGY 1981, PCH1",TRUE,1,140122
138670,1,2,0.022222222,0,0,35,0,,,,,35,1,1,A,"WILMAN M, 1933, ROCK ENGRAVINGS GRIQ
WILMAN M, 1968, ROCK ENGRAVINGS GRIQ",TRUE,1,141587
138726,1,2,0.046929926,0,0.035294118,21,0,,,,,21,1,1,A,"WILSON CHARLES H., 1978, PROFIT POWER STUDY E
WILSON CHARLES, 1957, PROFIT POWER STUDY E",TRUE,1,141635
138895,1,2,0.064185277,0,0.022222222,5,0.063636364,,,,,5,1,1,A,"WILSON W, 1971, PAPERS W WILSON
WILSON W., 1966, PAPERS W WILSON, V1-69",TRUE,1,141827
138979,1,2,0.01,0,0,0,0.026666667,,,,,0,1,1,A,"WINDNORTON L, 1994, 255 IOW STAT U DEP E
WINDNORTON L, 1994, 256 IOW STAT U DEP E",TRUE,1,141886
139909,1,2,0.037963545,0,0,1,0,,,,,1,1,1,A,"WOODFORD M, 2001, EC POLICY INFORM EC
WOODFORD M, 2002, EC POLICY INFORM EC, P297",TRUE,1,142839
139959,2,4,0.045257453,0,0.1,0,0,,,,,0,0.166666667,1,A,"WOODS SW, 1879, NATIVE TRIBES S AUST
WOODS JD, 1879, NATIVE TRIBES S AUST, P55",TRUE,1,142896
140974,1,2,0.11372549,0,0,2,0.165882353,,,,,2,1,1,A,"YEN DE, 1961, 10TH PAC SCI C PAC S
YEN DE, 1963, 10TH S PAC SCI C HON",TRUE,1,143999
141149,1,2,0.098180238,0,0,6,0.15877193,,,,,6,1,1,A,"YOUNG A, 1992, UNPUB TALE 2 CITIES
YOUNG A, 1998, UNPUB ALTERNATIVE ES",TRUE,,144145
141234,1,2,0.095497643,0,0,4,0.71125731,,,,,4,1,1,A,"YOUNG KATHARINE, 1993, BODYLORE
YOUNG KATHARINE, 1997, PRESENCE FLESH BODY",TRUE,,144229
141439,1,2,0.08625731,0,0,0,0.09,,,,,0,0.333333333,1,A,"ZAJAC EE, 1970, AM ECONOMIC REV  MAR
ZAJAC EE, 1970, AM ECON REV, V60, P117",TRUE,1,144468
141765,1,2,0.014634146,0,0,0,0.03,,,,,0,1,1,A,"ZENNER WALTER, 1991, MINORITIES MIDDLE
ZENNER WALTER, 1991, MINORITIES MIDDLE CR",TRUE,,144783
142175,1,2,0.057142857,0,0.022222222,0,0.09,,,,,0,1,1,A,"ZUCKER P, 1959, TOWN SQUARE AGORA VI
ZUCKER P., 1959, TOWN SQUARE",TRUE,1,145141
7308,1,2,0.090277778,0,0.077777778,0,0.032163743,0,15,,,0,1,2,B,"AARONSON MARK NEAL, 1996, HASTINGS WOMENS LJ, V7, P213
AARONSON MN, 1996, HASTINGS WOMENS LAW, V7, P228",TRUE,1,146241
8540,1,2,0.085558214,0,0,16,0,32,986,,,504832,1,2,B,"AHNESJO I, 1992, J FISH BIOL, V41, P53
AHNESJO I, 2008, J FISH BIOL, V73, P1039",TRUE,,146822
8643,2,3,0.015128205,0,0,0,0,10,0,,,0,0.333333333,2,B,"AIVAZIAN VA, 1981, J LAW ECON, V14, P175
AIVAZIAN VA, 1981, J LAW ECON, V24, P175",TRUE,1,146875
8693,1,2,0.095506346,0,0.20952381,10,0,9,516,,,46440,1,2,B,"AKE C, 1966, COMP STUD SOC HIST, V9, P1
LANE FC, 1976, COMP STUD SOC HIST, V18, P517",TRUE,,146894
8744,1,2,0.070469387,0,0.055555556,10,0,9,6,,,540,1,2,B,"AKKERMANS P.M.M.G., 1997, PALEORIENT, V22, P17
AKKERMANS PMM, 1987, PALEORIENT, V13, P23",TRUE,,146912
9021,1,3,0.027890238,0,0.077575758,0,0,0,0,,,0,0.333333333,2,B,"ALXEYEV VP, 1976, J HUM EVOL, V5, P413
ALEXEYEV VP, 1976, J HUM EVOL, V5, P413",TRUE,1,147101
9810,1,2,0.176689977,0,0,11,0,10,84,,,9240,1,2,B,"AMACHER GS, 1993, J DEV STUD, V30, P206
AMACHER GS, 2004, J DEV STUD, V40, P122",TRUE,,147495
9839,1,2,0.013333333,0,0,0,0,0,1,,,0,1,2,B,"AMAOKA, 1919, SHIMIN, V14, P33
AMAOKA, 1919, SHIMIN, V14, P34",TRUE,1,147503
9898,1,2,0.022281583,0,0,9,0,9,76,,,6156,1,2,B,"AMERICAN DIABETES ASSOCIATION, 2001, DIABETES CARE S1, V24, PS80
AMERICAN DIABETES ASSOCIATION, 2010, DIABETES CARE S1, V33, PS4",TRUE,,147543
10512,1,2,0.093943944,0,0.355555556,0,0,0,0,,,0,1,2,B,"ANDREWS AB, 1999, SOC WORK, V44, P105
BOWERS AA, 1999, SOC WORK, V44, P105",TRUE,,147856
10535,1,2,0.037878788,0,0,3,0,3,285,,,2565,1,2,B,"ANDREWS IO, 1918, AM LABOR LEGISLATION, V8, P365
ANDREWS IO, 1921, AM LABOR LEGISLATION, V11, P80",TRUE,,147866
10675,1,2,0.054054054,0,0,1,0,1,96,,,96,1,2,B,"ANHOLT BR, 1997, EVOL ECOL, V11, P633
ANHOLT BR, 1998, EVOL ECOL, V12, P729",TRUE,,147953
11246,1,2,0.092149292,0,0.30952381,0,0,0,404,,,0,1,2,B,"ARIAS A, 2007, ECON THEOR, V32, P43
KAMIYA K, 2007, ECON THEOR, V32, P447",TRUE,,148300
11915,1,2,0.115535714,0,0,4,0,5,220,,,4400,1,2,B,"ASHLEY WJ, 1893, Q J ECON, V7, P115
ASHLEY WJ, 1897, Q J ECON, V2, P335",TRUE,,148704
12073,1,2,0.033681765,0,0,2,0,2,194,,,776,1,2,B,"ASWANI S, 2004, ENVIRON CONSERV, V31, P69
ASWANI S, 2006, ENVIRON CONSERV, V33, P263",TRUE,,148784
12080,1,2,0.01,0,0,0,0,1,0,,,0,1,2,B,"ATAKAN AE, 2006, ECONOMETRICA, V73, P667
ATAKAN AE, 2006, ECONOMETRICA, V74, P667",TRUE,1,148786
12663,1,2,0.09462084,0,0.248042328,6,0,6,230,,,8280,1,2,B,"AZAR OH, 2008, J ECON MANAGE STRAT, V17, P781
AZOULAY P, 2002, J ECON MANAGE STRAT, V11, P551",TRUE,,149132
12708,1,2,0.094875837,0,0.194708995,2,0,2,1132,,,4528,1,2,B,"BABAD E, 1991, J APPL SOC PSYCHOL, V21, P1921
BAUMAN KE, 1989, J APPL SOC PSYCHOL, V19, P789",TRUE,,149150
13005,1,2,0.032789691,0,0.02,0,0,5,0,,,0,1,2,B,"BAGEHOT W, 1971, FINANCIAL ANAL J, V22, P12
BAGEHOT W., 1971, FINANCIAL ANAL J, V27, P12",TRUE,1,149292
13643,2,3,0.017310924,0,0,0,0,0,159,,,0,0.333333333,2,B,"BALFOUR A, 1923, LANCET, V205, P243
BALFOUR A, 1923, LANCET, V205, P84",TRUE,1,149599
13975,1,2,0.045851991,0,0.046153846,0,0,0,9,,,0,1,2,B,"BANNING E. B., 2011, CURR ANTHROPOL, V52, P610
BANNING EB, 2011, CURR ANTHROPOL, V52, P619",TRUE,1,149774
14626,1,2,0.089074074,0,0.217037037,1,0,1,23,,,23,1,2,B,"BARR NI, 1967, AM J PSYCHIAT, V124, P170
BARTON WE, 1968, AM J PSYCHIAT, V125, P147",TRUE,,150082
14668,2,3,0.02,0,0,0,0,0,46,,,0,0.333333333,2,B,"BARRETO M, 2010, J SOC ISSUES, V66, P431
BARRETO M, 2010, J SOC ISSUES, V66, P477",TRUE,1,150111
14939,1,2,0.005128205,0,0.018181818,0,0,0,0,,,0,1,2,B,"BARTLETT L, 1991, J ED POLICY, V6, P91
BARTLETT VL, 1991, J ED POLICY, V6, P91",TRUE,1,150231
15116,1,2,0.026666667,0,0,0,0,0,14,,,0,1,2,B,"BASS NH, 1970, ARCH NEUROL-CHICAGO, V23, P289
BASS NH, 1970, ARCH NEUROL-CHICAGO, V23, P303",TRUE,1,150323
15724,1,2,0.054268293,0,0,4,0,4,47,,,752,1,2,B,"BAYUS BL, 1997, J MARKETING RES, V34, P50
BAYUS BL, 2001, J MARKETING RES, V38, P3",TRUE,,150599
15890,1,2,0.011111111,0,0,0,0,0,2,,,0,1,2,B,"BEARDSLEY T, 1995, SCI AM, V272, P14
BEARDSLEY T, 1995, SCI AM, V272, P16",TRUE,1,150671
16563,2,3,0.041331924,0,0,0,0.084558824,1,0,,,0,0.333333333,2,B,"BELKNAP G, 1956, PUBLIC OPIN QUART, V20, P73
BELKNAP G, 1956, PUBLIC OPINION Q, V21, P73",TRUE,1,151023
17065,1,3,0.074053193,0,0.022222222,1,0.090874811,1,1042,,,1042,0.333333333,2,B,"BENINI R, 1908, GIORNALE EC 2, V36, P11
BENINI R., 1907, GIORNALE DEGLI EC, V35, P1053",TRUE,,151248
17655,1,2,0.092184874,0,0.315,0,0,0,182,,,0,1,2,B,"BERGMAN MM, 2001, J ADOLESCENCE, V24, P183
BRU E, 2001, J ADOLESCENCE, V24, P1",TRUE,,151516
18249,1,2,0.033255814,0,0,0,0.054545455,0,3,,,0,1,2,B,"BESANCENEY PH, 1965, AM J SOC, V70, P720
BESANCENEY PH, 1965, AM J SOCIOL, V70, P717",TRUE,1,151809
18353,1,2,0.046878032,0,0,1,0,1,450,,,450,1,2,B,"BETRAM G, 1985, PAC VIEWPOINT, V26, P497
BETRAM G, 1986, PAC VIEWPOINT, V27, P47",TRUE,,151837
18560,1,2,0.097009648,0,0,16,0.195512821,49,65,,,50960,1,2,B,"BHATIA KB, 1971, AM J AGR ECON, V53, P502
BHATIA KB, 1987, Q J ECON, V102, P437",TRUE,,151920
18860,1,2,0.082724638,0,0,0,0.1025,81,344,,,0,1,2,B,"BILLINGS AG, 1983, J ABNORM CHILD PSYCH, V11, P463
BILLINGS AG, 1983, J ABNORM PSYCHOL, V92, P119",TRUE,,152111
19277,1,2,0.030641026,0,0.022222222,0,0,0,0,,,0,1,2,B,"BIZZELL P, 1988, TEACH SOCIOL, V16, P177
BIZZELLP, 1988, TEACH SOCIOL, V16, P177",TRUE,1,152352
19340,1,2,0.109560724,0,0.025,11,0,11,1134,,,137214,1,2,B,"BLACK B, 2000, STANFORD LAW REV, V52, P1731
BLACK BS, 1989, STANFORD LAW REV, V41, P597",TRUE,,152397
20035,1,2,0.033863275,0,0,0,0.086666667,90,0,,,0,1,2,B,"BLOMO V, 1978, S AGR EC, V10, P119
BLOMO V, 1978, S J AGR EC, V100, P119",TRUE,1,152776
20045,1,2,0.048567799,0,0.036363636,0,0,0,300,,,0,0.166666667,2,B,"BLOMSTROM, 1983, WORLD DEV, V11, P493
BLOMSTROM M, 1983, WORLD DEV, V11, P193",TRUE,1,152781
20165,1,2,0.076763566,0,0.195714286,0,0,1,201,,,0,1,2,B,"BLUE FR, 1979, PERCEPT MOTOR SKILL, V48, P228
BULL R, 1979, PERCEPT MOTOR SKILL, V49, P27",TRUE,,152862
20583,1,2,0.015128205,0,0,0,0,0,14,,,0,1,2,B,"BOETTKE P, 1986, MARKET PROCESS, V4, P20
BOETTKE P, 1986, MARKET PROCESS, V4, P6",TRUE,1,153169
20923,1,2,0.045751634,0,0,0,0,4,77,,,0,1,2,B,"BONALUME N, 1989, NATURE, V338, P286
BONALUME N, 1989, NATURE, V342, P363",TRUE,,153394
21488,1,2,0.074175036,0,0,19,0,19,274,,,98914,1,2,B,"BOSCH G, 1990, INT LABOUR REV, V129, P611
BOSCH G, 2009, INT LABOUR REV, V148, P337",TRUE,,153689
21513,2,3,0.045330415,0,0,11,0,11,670,,,81070,0.1,2,B,"BOSERUP E, 1976, POPUL DEV REV, V2, P21
BOSERUP E, 1987, POPUL DEV REV, V13, P691",TRUE,,153708
21571,1,2,0.02907563,0,0,0,0,1,0,,,0,1,2,B,"BOSTER J, 1986, ETHNOLOGY, V25, P61
BOSTER J, 1986, ETHNOLOGY, V26, P61",TRUE,1,153747
22336,1,3,0.062919884,0,0,1,0,1,1065,,,1065,0.333333333,2,B,"BRACKEN J, 1973, OPER RES, V21, P37
BRACKEN J, 1974, OPER RES, V22, P1102",TRUE,,154132
22465,1,2,0.049665283,0,0,10,0.088571429,0,0,,,0,1,2,B,"BRADWAY KP, 1952, J EDUCATIONAL PSYCHO, V53, P1
BRADWAY KP, 1962, J EDUC PSYCHOL, V53, P1",TRUE,1,154194
22680,1,2,0.011428571,0,0,0,0,0,250,,,0,1,2,B,"BRANDT M, 2005, BIOL REV, V80, P1
BRANDT M, 2005, BIOL REV, V80, P251",TRUE,1,154285
23140,1,2,0.090251758,0,0.339814815,0,0,0,12,,,0,1,2,B,"BRENTON P, 1997, OXFORD REV ECON POL, V13, P65
GROUT PA, 1997, OXFORD REV ECON POL, V13, P53",TRUE,,154500
24164,1,2,0.097430605,0,0.285714286,0,0,0,108,,,0,1,2,B,"BROWN K, 2005, REV IND ORGAN, V27, P17
RONDI L, 2005, REV IND ORGAN, V27, P125",TRUE,,154951
24353,1,2,0.074047619,0,0.018181818,0,0.140934066,0,3,,,0,1,2,B,"BROWNLEE J, 1925, PROC R SOC MED, V18, P73
BROWNLEE JR, 1925, P ROY SOC MED, V18, P76",TRUE,1,155050
25085,2,3,0.060271318,0,0,6,0,7,124,,,5208,0.166666667,2,B,"BULLOCK HA, 1961, J CRIM LAW CRIMINOL, V52, P441
BULLOCK HA, 1955, J CRIM LAW CRIMINOL, V45, P565",TRUE,,155380
25276,1,2,0.039516908,0,0,4,0,4,456,,,7296,1,2,B,"BURDETTE AM, 2005, J SCI STUD RELIG, V44, P79
BURDETTE AM, 2009, J SCI STUD RELIG, V48, P535",TRUE,,155535
25376,1,2,0.101661779,0,0,1,0,1,566,,,566,1,2,B,"BURHANS DE, 2000, AUK, V117, P803
BURHANS DE, 2001, AUK, V118, P237",TRUE,,155604
25475,1,2,0.041025641,0,0,1,0,1,21,,,21,1,2,B,"BURKS FW, 1937, J SOC PSYCHOL, V8, P146
BURKS FW, 1938, J SOC PSYCHOL, V9, P125",TRUE,,155655
25485,1,2,0.028244898,0,0,2,0,2,106,,,424,1,2,B,"BURLEY D. V., 2010, J PACIFIC ARCHAEOLOG, V1, P128
BURLEY D. V., 2012, J PACIFIC ARCHAEOLOG, V3, P22",TRUE,,155663
25638,1,2,0.18477772,0,0.171111111,0,0,0,740,,,0,1,2,B,"BURDETT K, 1998, J ECON DYN CONTROL, V22, P1069
BURNSIDE C, 1998, J ECON DYN CONTROL, V22, P329",TRUE,,155723
26063,1,2,0.046543779,0,0,0,0,0,122,,,0,0.333333333,2,B,"BUVE A, 2001, AIDS, V15, PIV127
BUVE A, 2001, AIDS, V15, PS5",TRUE,1,155938
26288,1,2,0.096782107,0,0,2,0.148571429,200,76,,,30400,1,2,B,"CAHEN D, 1976, ARCHAEOLOGISCHES KOR, V6, P81
CAHEN D, 1978, ARCHAEOLOGIA BELGICA, V206, P5",TRUE,,156086
26417,1,3,0.061844744,0,0.018181818,5,0,5,122,,,3050,0.333333333,2,B,"CALDWELL JC, 1984, J MARRIAGE FAM, V46, P215
CALDWELL J, 1989, J MARRIAGE FAM, V51, P337",TRUE,,156185
27166,1,2,0.036363636,0,0,5,0,5,6,,,150,1,2,B,"CAPORASO JA, 1976, INT STUD QUART, V20, P341
CAPORASO JA, 1981, INT STUD QUART, V25, P347",TRUE,,156518
27167,1,2,0.041857242,0,0,2,0,2,604,,,2416,0.333333333,2,B,"CAPORASO JA, 1980, INT ORGAN, V34, P605
CAPORASO JA, 1978, INT ORGAN, V32, P1",TRUE,,156519
27424,1,2,0.043321719,0,0.013333333,2,0,2,262,,,1048,1,2,B,"CARLTON-LANEY I, 1999, SOC WORK, V44, P311
CARLTONLANEY I, 1997, SOC WORK, V42, P573",TRUE,,156672
27437,1,2,0.087804878,0,0,9,0,9,144,,,11664,1,2,B,"CARMENT D, 1994, THIRD WORLD Q, V15, P551
CARMENT D, 2003, THIRD WORLD Q, V24, P407",TRUE,,156675
27478,2,4,0.028244898,0,0,0,0.051052632,0,1,,,0,0.1,2,B,"CARNEIRO RL, 1963, T NEW YORK ACAD SCI, V26, P196
CARNEIRO RL, 1963, T NEW YORK ACADEMY S, V26, P197",TRUE,1,156692
27732,1,2,0.097825098,0,0,7,1,275,1077,,,2073225,1,2,B,"CARROLL SB, 2001, NATURE, V409, P1102
CARROLL SB, 2008, CELL, V134, P25",TRUE,,156849
28030,1,2,0.067009456,0,0,18,0,18,552,,,178848,1,2,B,"CASHMORE E, 1983, ETHNIC RACIAL STUD, V6, P90
CASHMORE E, 2001, ETHNIC RACIAL STUD, V24, P642",TRUE,,156990
28093,1,2,0.080040445,0,0,0,0.130843653,7,292,,,0,1,2,B,"CASSEL J, 1974, INT J HEALTH SERV, V4, P471
CASSEL J, 1974, INT J HLTH SERVICES, V11, P179",TRUE,,157041
28286,1,2,0.059982578,0,0,3,0.033333333,15,17,,,765,1,2,B,"CATTELL JM, 1897, COLUMBIA U B, V17, P164
CATTELL JM, 1900, COLUMBIA U Q, V2, P181",TRUE,,157133
28361,1,2,0.085292851,0,0.392857143,0,0,0,9,,,0,1,2,B,"CAVAN RS, 1971, INT J SOCIOLOGY FAMI, V2, P10
LAZAR R, 1971, INT J SOCIOLOGY FAMI, V2, P1",TRUE,,157177
28876,1,2,0.094064439,0,0.157142857,3,0,3,226,,,2034,1,2,B,"CHANDOLA T, 2012, INT DEV PLANN REV, V34, P391
CHANG Y, 2009, INT DEV PLANN REV, V31, P165",TRUE,,157396
29295,1,2,0.092374402,0,0,13,0.0625,8,588,,,61152,1,2,B,"CHASSIN L, 1986, DEV PSYCHOL, V3, P327
CHASSIN L, 1999, DEV PSYCHOPATHOL, V11, P915",TRUE,,157607
29319,1,2,0.070068027,0,0,6,0,6,3878,,,139608,1,2,B,"CHATTERJEE P, 1998, ECON POLIT WEEKLY, V33, P277
CHATTERJEE P, 2004, ECON POLIT WEEKLY, V39, P4155",TRUE,,157624
29469,1,2,0.074212715,0,0,0,0.0875,0,338,,,0,1,2,B,"CHEMALI B, 1910, ANTHROPOS VIENNA, V5, P1072
CHEMALI B, 1910, ANTHROPOS, V5, P734",TRUE,1,157691
29568,1,2,0.03029382,0,0,0,0.052631579,0,1,,,0,1,2,B,"CHENEY DL, 1981, FOLIA PRIMATOL, V35, P124
CHENEY DL, 1981, FOLIA PRIMATOLOGICA, V35, P125",TRUE,1,157753
30521,1,2,0.096192532,0,0.30952381,0,0,0,196,,,0,1,2,B,"CLAPP JD, 2000, AM J DRUG ALCOHOL AB, V26, P139
DELVA J, 2000, AM J DRUG ALCOHOL AB, V26, P335",TRUE,,158210
30804,2,3,0.08372093,0,0,24,0,24,366,,,210816,0.166666667,2,B,"CLARK WAV, 2003, ENVIRON PLANN A, V35, P323
CLARK WAV, 1979, ENVIRON PLANN A, V11, P689",TRUE,,158328
31137,1,2,0.090299278,0,0.151666667,10,0,10,122,,,12200,1,2,B,"CLIFTON JA, 1965, HUM ORGAN, V24, P319
CLINTON CA, 1975, HUM ORGAN, V34, P197",TRUE,,158503
31233,1,2,0.018181818,0,0,0,0,0,86,,,0,1,2,B,"CLOUSE RC, 1932, J AMER MED ASSOC, V99, P215
CLOUSE RC, 1932, J AMER MED ASSOC, V99, P301",TRUE,1,158550
31569,1,3,0.040816327,0,0,5,0,10,172,,,8600,0.333333333,2,B,"COGGINS JS, 1993, J ENVIRON ECON MANAG, V25, P275
COGGINS JS, 1998, J ENVIRON ECON MANAG, V35, P103",TRUE,,158722
31590,1,2,0.093007309,0,0.398809524,0,0,0,18,,,0,1,2,B,"COHEN A, 1994, STAT PROBABIL LETT, V20, P131
HWANG GT, 1994, STAT PROBABIL LETT, V20, P113",TRUE,,158731
31719,1,2,0.106989247,0,0.057142857,1,0.535714286,17,2083,,,35411,1,2,B,"COHEN J, 2004, AIDS, V18, P2105
COHEN M, 2005, SUSTAIN, V1, P22",TRUE,,158788
